"","X","data_1","data_2","data_3","data_4","data_5","data_6","data_7","data_8","data_9","data_10","data_11","data_12","data_13","data_14","data_15","data_16","data_17","data_18","data_19","data_20","data_21","data_22","data_23","data_24","data_25","data_26","data_27","data_28","data_29","data_30","data_31","data_32","data_33","data_34","data_35","data_36","data_37","data_38","data_39","data_40","data_41","data_42","data_43","data_44","data_45","data_46","data_47","data_48","data_49","data_50","data_51","data_52","data_53","data_54","data_55","data_56","data_57","data_58","data_59","data_60","data_61","data_62","data_63","data_64","data_65","data_66","data_67","data_68","data_69","data_70","data_71","data_72","data_73","data_74","data_75","data_76","data_78","data_79","data_80","data_81","data_82","data_83","data_84","data_85","data_86","data_87","data_88","data_89","data_90","data_91","data_92","data_93","data_94","data_95","data_96","data_97","data_98","data_99","data_100","data_101","data_102","data_103","data_104","data_105","data_106","data_107","data_108","data_109","data_110","data_111","data_112","data_113","data_114","data_115","data_116","data_117","data_118","data_119","data_120","data_121","data_122","data_123","data_124","data_125","data_126","data_127","data_128","data_129","data_130","data_131","data_132","data_133","data_134","data_135","data_136","data_137","data_139","data_140","data_141","data_142","data_143","data_144","data_145","data_146","data_147","data_148","data_149","data_150","data_151","data_152","data_153","data_154","data_155","data_156","data_157","data_158","data_159","data_160","data_161","data_162","data_163","data_164","data_165","data_166","data_167","data_168","data_169","data_170","data_171","data_172","data_173","data_174","data_175","data_176","data_177","data_178","data_179","data_180","data_181","data_182","data_183","data_184","data_185","data_186","data_187","data_188","data_189","data_190","data_191","data_192","data_193","data_194","data_195","data_196","data_197","data_198","data_199","data_200","data_201","data_202","data_203","data_204","data_205","data_206","data_207","data_208","data_209","data_210","data_211","data_212","data_213","data_214","data_215","data_216","data_217","data_218","data_219","data_220","data_221","data_222","data_223","data_224","data_225","data_226","data_227","data_228","data_229","data_230","data_231","data_232","data_233","data_234","data_235","data_236","data_237","data_238","data_239","data_240","data_241","data_242","data_243","data_244","data_245","data_246","data_247","data_248","data_249","data_250","data_251","data_252","data_253","data_255","data_256","data_257","data_258","data_260","data_261","data_262","data_264","data_266","data_267","data_268","data_269","data_270","data_271","data_272","data_273","data_274","data_275","data_276","data_277","data_278","data_279","data_280","data_281","data_282","data_284","data_285","data_286","data_287","data_288","data_289","data_290","data_291","data_292","data_293","data_294","data_295","data_296","data_297","data_298","data_299","data_300","data_301","data_302","data_303","data_304","data_305"
"153",153,890604,1251590,1549752,5155151,1002427,472968,614973,596129,373995,579032,356370,707513,571964,620483,613044,541717,550902,725308,769945,867488,851064,490231,714728,888698,982239,1112534,782756,579051,552197,539493,757091,754875,1027170,615474,591753,732078,850601,577346,1032675,879060,990554,924618,702107,782261,802982,1038451,713907,979310,890861,833913,992044,823997,931126,878127,1051227,1018097,699065,1063378,936042,1026437,1273134,1054780,1610839,1323484,2052209,1538965,1553262,555416,934806,338344,226296,380462,246682,575122,3574812,502328,603951,533146,710314,754224,423497,655036,649290,528345,693355,726640,459885,689745,821039,432211,627415,831825,679091,613685,876237,562042,695397,602851,916273,904692,1004711,546898,617136,1021477,919593,807839,836557,850374,875508,675564,1060283,732734,800955,656374,834978,580232,551904,993879,696388,723793,557748,909519,744468,698071,1085565,757223,1059142,651725,739588,858142,506476,1244722,769085,689684,924254,938375,882924,711063,764065,736883,800067,923688,897779,871501,836606,900568,914043,983948,1068962,697637,914020,748654,700486,1205732,849865,986981,1013909,888778,779357,1016315,1176200,1311413,853996,846480,1147963,752341,1214083,1227931,867151,865928,1039339,932194,1136354,1346563,1105403,1241525,1342522,1018304,913888,1210722,1099853,1262418,894734,790899,953325,1075490,723092,979697,1131738,1037590,1025373,1158546,1018578,1078494,808576,765653,955525,1346132,1029872,1200516,1081007,1113668,1072512,1206206,1086249,1177857,1076836,971232,1232715,1193362,1270825,1221612,1198836,572493,1101019,1199299,1359620,1099126,1426931,1412277,1417674,1339507,616435,1102375,1178199,1406095,1244414,1507704,920345,1293930,1201038,810858,1290951,1171858,1711857,1081772,1286710,1362091,1212713,1176844,1702995,669835,1459208,1509122,1041972,1150887,1732126,1660055,1896274,1191436,1542272,2034203,1925379,1770857,1506264,1293317,1868886,2843487,550405,2630025,2845526,2404438,3150270,963056,579163,745749,730778,555225,865695,626510,715081,686356,710043,882236,802701,1099386,1235691,1092095,904646,1009444,984007,970407,1452159,1023561,1601060,1006543,1054908,709494,1571948,2079928,2652966,560226,796063,1308505,803489,881355,816635,1233629
"154",154,893764,1257478,1551805,5176966,1009554,475425,616161,598599,375078,580728,357208,709313,574529,621003,615604,544262,553333,728975,771409,871224,852831,493418,717351,893068,983626,1113860,786624,582276,553260,541853,758912,759876,1030050,617396,594640,736838,852479,578853,1034800,882516,994194,928035,704387,784348,813086,1043091,716037,984198,894661,835823,1002385,832046,932937,879785,1055665,1022684,701735,1069075,938516,1030290,1276204,1063168,1616778,1327044,2059134,1548308,1569810,558191,937992,339537,228366,382010,247419,576161,3579318,503393,606080,536067,711330,760496,424425,656956,654921,529849,694275,728929,460640,692247,826950,433174,631127,835127,684323,615493,878529,563347,698726,607166,919288,907585,1008315,548634,618225,1025852,923299,810883,838798,853134,878852,676996,1063620,734447,804842,659398,839010,581460,556371,1000184,698354,724918,561070,910928,747278,700927,1087808,759078,1066458,656780,740655,861560,507933,1246702,771467,693882,929376,942455,887498,712163,767931,739936,801382,929019,898928,875833,838796,903552,915879,988902,1070172,700286,917375,751998,703933,1236429,852307,989941,1018810,892426,780786,1017949,1179928,1313253,856952,848768,1151047,755841,1215315,1230743,870488,869592,1041015,937040,1140517,1349674,1106611,1249753,1347466,1021886,918949,1213923,1101601,1264376,900646,793601,963996,1076624,727089,983473,1134642,1042643,1027993,1161866,1020842,1081403,812016,767849,957470,1353283,1032091,1205774,1086566,1120628,1077637,1208614,1088126,1206311,1078743,974402,1242331,1197320,1273666,1223480,1202903,575749,1105595,1202043,1382836,1106282,1431209,1415179,1420464,1344380,619675,1115462,1182611,1410340,1250371,1510888,925595,1298703,1206327,816199,1301537,1181539,1714707,1087099,1291746,1370582,1219739,1179728,1706307,671605,1463358,1513864,1043921,1158137,1734901,1665197,1899744,1196393,1550171,2035492,1928304,1776799,1512688,1295453,1879478,2845023,552133,2634257,2847887,2409420,3151148,968134,582006,747747,732518,559165,870759,628038,717693,689513,711867,886581,806111,1107296,1241344,1095607,906571,1011494,986961,973545,1456435,1028929,1609505,1011812,1060188,711072,1574300,2104038,2687493,561650,799042,1314202,807253,884458,817843,1237610
"155",155,897732,1266166,1553380,5190838,1012394,476927,617445,600674,376190,583232,358007,710850,577006,621716,621404,547077,555017,732541,773433,878571,854896,496428,719551,899211,984899,1117350,791684,584979,554970,543445,761286,762516,1033845,620383,597199,742070,854449,580756,1041196,885997,997181,932049,706266,787109,819327,1049417,722211,987445,897193,838431,1004113,836595,934994,881872,1062860,1027174,704768,1074571,940959,1037937,1279804,1069979,1625838,1330717,2067451,1555805,1642602,561676,942102,342051,229581,384319,248387,577257,3582364,504594,609600,539266,718895,769104,425697,659444,658443,531777,698139,738687,461401,695125,829161,434330,634343,839149,688634,618597,881350,565623,700743,609371,923861,911124,1015679,550415,621101,1034108,926867,813764,840006,857014,882988,679286,1066505,735520,809825,662974,845155,583266,563728,1006001,701204,726226,565366,913216,750299,704556,1090131,766286,1073908,662655,741939,864837,509794,1249036,775750,699518,940409,944600,893756,713803,771071,741974,803525,933851,900765,879892,841202,906497,917760,993655,1072326,702701,922810,755670,705933,1241712,858227,992701,1028769,894834,783217,1020622,1186310,1315357,860682,853431,1154755,758588,1218803,1233905,872455,872965,1043085,945740,1145661,1352957,1110596,1256279,1352890,1023682,927205,1217386,1104200,1267225,904106,796422,966354,1078209,729698,989150,1137642,1067702,1029774,1167111,1022850,1084397,815024,770705,961517,1361331,1035145,1209152,1096663,1134467,1083351,1211678,1090915,1208388,1080647,978862,1248307,1200962,1276921,1225521,1207723,579939,1107232,1206971,1412855,1110102,1435520,1419545,1422680,1359123,625976,1118921,1188259,1416964,1256349,1515456,928402,1303051,1211491,817432,1408616,1185851,1718166,1095389,1296954,1375778,1224813,1183186,1710493,674433,1472065,1519226,1047259,1162071,1739451,1669465,1904983,1198745,1558819,2037379,1931950,1783344,1519624,1306037,1891686,2846927,554421,2645262,2851379,2417434,3153412,972949,586020,750793,734562,563476,874449,629727,721867,697000,714987,889682,809137,1116735,1245025,1107096,919381,1016335,989089,978848,1459839,1030834,1614095,1033034,1062716,713904,1576595,2111748,2700877,564082,802480,1317905,810865,886870,822299,1240575
"156",156,904370,1276790,1561044,5214398,1015978,479671,620090,603745,377148,587856,358759,712992,579503,622282,624803,550221,557668,735147,775913,881940,862783,498474,722623,904730,986821,1120788,795593,587556,557928,544821,766060,764664,1038041,624367,601441,746926,858374,588190,1048597,889662,1001296,938034,709851,789934,825253,1056026,724662,989905,903413,841992,1006217,840530,938058,885768,1069253,1030148,708124,1081600,945705,1044970,1282836,1075630,1631784,1335369,2071270,1562497,1649893,564625,946197,343760,230761,385742,249428,578634,3585524,505722,615807,542888,725938,776958,426745,661468,662599,535236,701211,742313,462165,697603,832392,435212,638807,844755,695412,622037,885536,569187,705084,613391,926582,915476,1022434,552245,626444,1041420,930216,816228,843678,860384,887093,683111,1070227,736761,811697,666062,850452,588116,567431,1017970,704670,727687,569377,916936,754363,707542,1099190,770139,1084237,666465,744525,871360,511926,1251809,780701,703228,943911,947001,900327,717244,773852,744226,807392,937043,905547,882912,843536,912366,921607,999505,1074883,709365,926934,758238,707541,1253396,860785,995157,1033211,900874,788138,1025427,1189991,1321821,865382,857544,1164207,760962,1222019,1237969,879539,878375,1048938,949039,1153037,1357075,1114923,1262888,1358458,1026680,933578,1222403,1108674,1273625,911438,800999,968851,1080058,734362,993111,1143634,1070894,1031441,1177840,1027657,1086245,819376,775185,965969,1371483,1038861,1217200,1101519,1168179,1090034,1215894,1094772,1210477,1082522,1004386,1251628,1204243,1284471,1228075,1213533,582609,1109655,1215271,1421783,1115157,1439124,1423040,1424548,1388667,628551,1125828,1195195,1422328,1261978,1518756,930146,1306352,1215115,820044,1412575,1190715,1722534,1100907,1304482,1383863,1231112,1187548,1714507,677878,1477335,1530312,1049623,1167669,1746284,1673453,1909002,1204962,1571046,2043346,1934270,1788767,1530168,1317557,1905214,2853382,556141,2648918,2927573,2455265,3156694,976289,589107,756879,739010,569243,878948,632830,724969,700232,719419,893891,813820,1121846,1249890,1188741,930612,1022725,991129,985144,1466551,1033856,1617467,1038690,1065236,722213,1578228,2115909,2706381,566306,804826,1323803,814921,891230,827571,1248504
"157",157,912171,1286086,1572122,5251958,1022010,481223,623706,609398,378180,590232,359385,715492,582121,622789,628935,556119,559900,738238,778145,885266,865877,501405,725887,932211,990485,1123280,799156,589719,560195,547861,771898,766728,1041085,626676,606155,750730,861309,591820,1053960,893563,1006608,942265,713252,792355,833424,1068850,727719,996670,913481,844874,1010017,843669,957476,889640,1093432,1033456,712572,1086440,954533,1049702,1285152,1081274,1636214,1338780,2077168,1569589,1658893,567386,954908,344633,231695,387003,250279,580170,3588698,506758,618275,545189,729792,785342,427754,664060,669014,541054,703635,746160,462973,700195,835513,436293,642048,851927,699694,624397,889761,571655,709568,617656,931156,920132,1028775,554030,628945,1047669,933428,818062,848550,866377,893324,687565,1074934,738579,814688,668438,855648,590740,570798,1034972,707192,729209,572546,920648,756940,721691,1103844,777226,1088103,670219,746949,875945,514976,1255190,784082,705898,946890,949948,904016,720945,777561,754167,811419,940103,913755,887127,847521,918671,927377,1004769,1078087,727482,931006,765118,711373,1256428,863907,999781,1036885,903466,792494,1029695,1196088,1326461,870704,861983,1200587,765357,1225539,1243778,885769,883302,1052428,955590,1168801,1359622,1117675,1269820,1363026,1037405,937909,1226859,1117212,1278224,917717,805267,972620,1081282,779249,995553,1149234,1073791,1033646,1183309,1030778,1090537,822815,780704,969354,1378243,1042901,1222160,1105694,1172779,1094545,1219190,1098610,1212734,1084864,1008182,1255563,1208688,1303029,1232387,1218218,585035,1112947,1233605,1427182,1122987,1441341,1425753,1428654,1392875,631069,1141116,1199724,1425290,1266125,1522548,933770,1309761,1250747,821439,1417252,1195927,1729247,1108596,1311027,1393320,1237829,1194366,1720611,704794,1513142,1538352,1053405,1172569,1749042,1678111,1913357,1210765,1577926,2045354,1937393,1794668,1540088,1321621,1916462,2857183,558006,2651321,2930987,2463332,3160133,980330,593228,762426,740998,575120,882526,635135,727529,705697,722339,896280,822330,1127079,1258056,1193981,934369,1026357,994343,993862,1472516,1038900,1620015,1043528,1069524,725297,1580019,2118461,2710821,568466,809965,1330379,824723,894242,833339,1256923
"158",158,916668,1295230,1575254,5274887,1024802,483167,626686,613874,379199,592192,360014,717561,585190,623740,631146,559790,562433,740831,781001,889882,868569,503897,727840,935734,992800,1126370,804065,592264,562069,550325,774630,768008,1044119,629457,610279,755010,864119,594347,1056413,896851,1009681,945410,716755,794301,839355,1076971,735706,999289,916573,847643,1012349,847462,967664,893290,1096228,1035661,718399,1092529,957967,1052050,1289629,1089159,1643606,1341964,2080499,1572725,1697253,571357,959071,345522,232632,388601,251174,581394,3591750,507827,620620,547926,734302,789870,428809,665548,672645,543574,706227,749495,463681,702533,838305,438781,645079,858421,703108,627197,892669,574204,713365,619539,933672,922610,1031900,556317,630988,1051748,936307,819327,852422,869485,896356,692026,1078101,739799,816792,672614,859486,593118,573918,1040836,712770,730593,575556,924440,760065,726424,1108346,780841,1093919,674250,749129,879795,516788,1257403,786363,710407,952115,953727,907334,723173,781576,759369,814678,943075,917535,891061,849734,921360,930131,1010795,1080711,730719,933263,768398,713413,1260064,866409,1002829,1041016,905738,795370,1034452,1199194,1331597,873504,864919,1264497,767648,1228019,1246931,889437,886482,1055002,959199,1174837,1361819,1121076,1276984,1367282,1041716,946557,1229561,1120632,1282811,924893,808687,976255,1082409,783733,997564,1152258,1084970,1035773,1186987,1035026,1093057,827808,782847,974214,1392259,1046356,1229031,1109193,1176300,1098388,1223141,1102482,1214466,1086572,1011637,1257291,1212492,1307818,1235496,1230011,587433,1116748,1236044,1435494,1127818,1442900,1428916,1433166,1398323,633555,1145661,1208180,1471386,1272215,1530120,936376,1311997,1257459,824520,1421943,1199701,1732066,1113426,1315836,1397575,1243975,1199638,1724011,707840,1519137,1546714,1058676,1178187,1751092,1687069,1928623,1213535,1583654,2047275,1939774,1799641,1546896,1325565,1927478,2934992,559909,2654988,2935789,2470598,3163291,983545,596590,765198,744102,579883,887700,637792,735553,709694,725419,899583,824594,1131192,1266508,1197486,937058,1029941,997217,997294,1477733,1041177,1622360,1048620,1073252,728353,1582379,2130361,2725981,570554,814698,1334578,827004,897753,835675,1264368
"159",159,918921,1300382,1582761,5289191,1027810,484303,628563,616361,380298,594296,360535,719684,587795,624266,633650,565814,564933,744383,782417,900764,870496,505996,730400,940639,996208,1129305,807869,594881,568066,552573,777849,770280,1046676,631560,614119,758278,866310,596849,1060464,900127,1013440,948491,719803,796307,844007,1080230,737969,1001838,919257,856269,1014821,850329,987817,895581,1099420,1038033,720872,1096055,963192,1054280,1294198,1098523,1657702,1345410,2083652,1577699,1703015,574418,962671,347018,233474,390015,252790,582866,3594490,508757,622252,550023,736301,794430,430008,667628,675621,546318,709747,754168,464412,705069,840516,439951,647095,862004,707053,629709,895854,576128,716412,621390,936462,924788,1035246,560553,633443,1056860,940781,823394,853654,873873,898780,694582,1080345,741633,819070,675998,861925,596016,577321,1044165,715578,731815,578929,927432,763296,735027,1111483,783378,1099433,678123,752158,882915,518819,1260047,789368,714232,956316,956591,910217,725133,784787,762078,818442,946483,920627,894166,852090,924352,932079,1017054,1083389,734404,938981,772246,719549,1262340,868699,1005349,1056926,907834,798754,1036863,1201654,1335261,876562,867415,1267257,771360,1234675,1250009,892190,889379,1056601,963453,1179089,1364826,1123132,1284819,1371003,1044732,955811,1232878,1124709,1288153,929811,811344,979350,1083633,788213,1003074,1154978,1088586,1037677,1190553,1037634,1096182,832600,785328,979291,1401571,1049687,1233665,1114382,1184204,1102700,1226061,1106243,1216471,1088941,1015076,1260339,1226049,1312611,1238526,1239625,590469,1119714,1274707,1439439,1133645,1451299,1431931,1436417,1403572,637709,1149810,1212525,1474146,1276764,1533076,938428,1314962,1263907,826850,1425881,1207622,1735496,1117075,1321861,1410500,1250809,1202467,1727101,710449,1522504,1552629,1060764,1184929,1755693,1699469,1932918,1217234,1589067,2049972,1942552,1804440,1552536,1330828,1941678,2940622,561861,2668781,2938472,2477599,3166211,986812,598658,768388,750258,583467,892257,639862,738874,712795,728379,901363,826726,1136881,1271243,1204318,941973,1033676,999596,1001952,1480185,1050131,1624699,1052372,1077316,730505,1588659,2134810,2731989,572138,817418,1340338,831630,901915,838755,1270396
"160",160,922433,1305342,1588106,5309359,1030986,485375,632414,618545,381546,596432,361052,721700,591341,624825,636439,568350,567134,747006,785561,902726,875182,508330,732816,944185,1000237,1130797,812104,597081,569936,555189,782080,776764,1049516,633840,617864,761770,869625,599274,1063522,903676,1017049,951436,725004,799108,849056,1084487,741543,1004220,921133,859370,1019405,853118,989796,897913,1101790,1043983,723761,1101145,967228,1058883,1296703,1131033,1687148,1347916,2088191,1583811,1707597,578366,966233,349283,234422,391468,253579,583866,3597299,509759,623521,552440,739127,799294,431305,672260,680412,549087,712179,759256,465104,707500,842706,440995,649168,864800,707842,632813,898314,577835,719512,624273,941387,927717,1039911,563021,635338,1061188,944744,825766,854894,879573,900964,697051,1084043,742976,823875,680198,867104,598454,579939,1048917,718772,732862,582012,930400,765550,738618,1113781,786254,1105115,681053,753968,887929,520603,1264368,792898,717735,960112,959239,914755,727516,789187,765827,822142,952051,922089,897994,855988,926919,934613,1021292,1085978,737851,942034,775174,721566,1264932,872119,1009309,1060879,911074,802664,1039169,1204708,1339517,880730,870111,1270249,775440,1238611,1254755,895634,892817,1058539,966410,1211890,1367094,1125052,1290350,1377066,1046943,962469,1235825,1126797,1291500,936268,814754,982954,1084665,792930,1005578,1158306,1091443,1046945,1194310,1042042,1100650,838304,787936,986092,1405411,1052850,1237079,1118245,1187811,1106801,1232421,1109543,1218174,1091152,1018611,1265724,1229020,1317896,1240633,1242035,595307,1124505,1277893,1448854,1137901,1453742,1437208,1438679,1409059,639941,1160565,1218357,1477288,1282937,1535746,942955,1318156,1268075,828653,1429313,1211428,1738713,1121203,1327184,1415221,1258249,1206465,1730907,712956,1526201,1557496,1063385,1189137,1760357,1704080,1939224,1220798,1595387,2051755,1945321,1811610,1557887,1344164,1950750,2943438,564085,2699132,2941821,2482725,3167783,990239,601850,772382,752262,589621,894879,642118,741077,717162,730988,903473,829209,1141896,1279355,1207734,946859,1036810,1001261,1006020,1484151,1052674,1629912,1055948,1081516,732903,1590267,2138406,2738333,574362,821765,1345811,833648,938277,841187,1291191
"161",161,926291,1316982,1594835,5331831,1035017,486815,633998,620304,382667,599104,362411,724110,594935,625373,638725,570275,571985,750335,789641,905324,878232,510972,735407,949187,1003423,1135219,815981,599706,572010,557165,785145,779644,1052526,635978,622233,767210,871897,601421,1070720,906998,1019003,954116,727915,802021,863797,1087286,743901,1006813,924213,862931,1020775,857990,991761,900404,1107015,1049353,726666,1112000,972010,1061512,1302433,1134449,1697844,1351741,2093684,1591759,1711814,582526,970168,350385,235411,392844,254658,585154,3600709,510842,626097,555076,741652,800494,432281,673900,684901,551422,715876,761872,465805,710566,844593,441959,652703,866769,713846,635773,903799,580096,722158,626309,944118,929917,1042578,565150,637079,1068309,947205,828950,857470,882782,903676,700313,1086302,744027,830715,688558,871569,602070,584609,1056974,724845,733870,584994,945689,772535,742185,1116974,788661,1118729,686839,755723,890609,525005,1268314,796147,722707,966674,962036,918770,729801,791443,767776,825113,965850,925641,901397,857612,930330,937318,1028382,1088495,741024,945819,777718,723230,1273915,875659,1011838,1064530,912986,806539,1042597,1208592,1345021,883776,873271,1272809,777319,1245003,1257918,899728,895604,1061268,975101,1216914,1370134,1127596,1301636,1382178,1050049,980461,1238075,1132839,1295588,941566,817526,984701,1085874,796513,1010055,1161098,1095283,1053704,1199131,1044969,1102898,842792,790920,989214,1409483,1056491,1241422,1126886,1190819,1110297,1236820,1112425,1220732,1092972,1021478,1269994,1233365,1321663,1244711,1244247,598507,1126950,1281091,1455406,1147218,1458550,1439975,1441165,1413539,642045,1166665,1223488,1481807,1291313,1538546,948565,1320401,1271921,829886,1433633,1214632,1741199,1126018,1331924,1429111,1263460,1209898,1733507,716011,1528852,1561573,1066294,1197635,1764130,1708419,1943064,1222543,1607433,2053300,1947775,1822385,1567399,1345860,1960638,2947711,566230,2713061,2944168,2491387,3171068,992707,605643,775970,756470,592899,897230,644752,750201,720770,734108,905469,831351,1147014,1284673,1210782,949801,1039458,1002833,1009026,1487205,1054776,1632777,1060424,1085244,735711,1592260,2144429,2749061,577170,824452,1350154,836910,943588,844331,1296930
"162",162,930403,1324086,1599312,5346302,1038273,488055,635599,622464,383896,600912,363579,726188,598260,625893,642989,572423,574368,753935,791961,907684,881299,513392,738039,954352,1007464,1137836,820187,602938,575239,559269,788348,790828,1055725,638366,625829,771989,874871,603120,1076910,909796,1022253,957550,730643,806768,870155,1090762,748114,1031933,928113,865548,1024842,861008,993889,903418,1110877,1056739,731028,1117001,975900,1066061,1304821,1139239,1707394,1358206,2101604,1596485,1719663,586156,974178,351120,236460,394730,255688,586290,3605144,511903,628335,557653,747292,801902,433784,675852,691071,554022,718820,764210,466513,713250,847590,442964,655863,869751,717953,637757,906222,584418,725073,631159,947121,935799,1047905,567241,638939,1074093,949484,831702,860471,886120,905972,702836,1090938,744839,833590,693839,874341,604779,588162,1062215,728513,735035,588265,948736,776091,745384,1119552,791258,1133406,690609,757547,894530,526481,1291722,800264,727458,969653,966101,925314,732489,794511,771014,828365,968826,928805,905630,861705,933649,939647,1032842,1091270,743769,949497,781487,725725,1276464,877774,1015205,1067754,915330,812997,1045784,1211578,1348725,889938,878359,1276523,781477,1247947,1260995,902916,899125,1063850,981884,1225725,1374092,1130108,1308463,1388227,1053204,987271,1240488,1135896,1298946,948461,820353,988724,1087249,800499,1014335,1163402,1097836,1056174,1202621,1047153,1108288,847977,793873,991472,1414371,1059389,1248649,1131111,1193915,1114560,1239845,1120156,1222788,1094851,1030456,1277629,1237177,1331433,1248683,1246713,600801,1129674,1283878,1468144,1159363,1460841,1443186,1442988,1416340,645733,1170906,1228301,1485330,1298495,1541102,955443,1322610,1276185,831734,1440631,1218959,1748227,1129922,1336771,1434381,1271129,1213374,1737147,718132,1549398,1573539,1068149,1203438,1766129,1715466,1947575,1227414,1620220,2056996,1949972,1831514,1573031,1348108,1973206,2951319,573237,2735533,2952453,2510402,3174649,999169,609264,778726,758570,599991,900538,646600,754261,725357,736980,907882,834376,1153223,1289974,1216734,952384,1042408,1004257,1012962,1489895,1058648,1636684,1064558,1088668,738523,1594356,2150173,2782773,579555,827290,1353362,840546,948849,847371,1304137
"163",163,933041,1340145,1608741,5360718,1040785,489023,642047,625226,385105,607024,364641,729852,601482,628549,645815,575710,577969,756336,795880,911746,887447,516234,740791,958188,1012677,1141329,825368,604528,580289,561317,791779,792528,1057545,641031,629543,780017,877479,607508,1091389,912574,1028580,961438,735212,809458,889687,1094703,750524,1040333,936285,868006,1028046,863709,996804,905806,1113802,1059295,735152,1121764,980160,1072244,1309952,1155267,1712129,1360789,2105119,1599933,1725753,588842,976616,354929,238217,398242,256626,587722,3607817,515357,631157,560162,751025,805022,436442,677772,695649,560206,721043,767952,468146,716088,849798,445110,659215,873156,723726,639805,909840,586915,728709,640621,949988,940933,1052470,569251,641394,1078028,951687,834854,862647,894181,908937,706769,1095030,747058,835767,698158,878556,607291,591582,1065567,734887,737987,591043,961585,780961,748601,1121652,793425,1140371,693745,792564,906135,531776,1294162,807000,733320,975660,968948,928962,734297,801091,774993,831952,978448,932657,909069,865671,945024,943995,1045382,1095718,746336,961590,784455,728037,1283212,880618,1021661,1073425,926010,821242,1048795,1215142,1362349,893964,881143,1288889,784178,1259171,1275732,905403,907012,1069119,984825,1230870,1377308,1132388,1318180,1394122,1055884,993524,1248184,1139721,1309117,955392,827484,990967,1088593,805263,1017812,1167946,1101336,1057676,1210105,1048930,1111221,855704,797983,994845,1425915,1071324,1261374,1136710,1197379,1123760,1242932,1126420,1225070,1097226,1033154,1280403,1239507,1338552,1252595,1249823,603517,1131307,1287307,1475568,1166194,1464131,1446378,1445485,1419195,648220,1180702,1234284,1493212,1306999,1543558,957722,1325176,1278818,833400,1444122,1229082,1751797,1135331,1348291,1459454,1278260,1217530,1744411,720658,1553060,1586655,1071601,1206758,1770360,1720991,1953317,1229519,1632053,2060388,1952053,1835674,1579775,1350148,1992661,2955471,582269,2744932,2955934,2518157,3186543,1001858,614068,781736,760590,603452,904970,649447,760350,727646,739404,910833,838016,1156415,1295524,1219598,956447,1045247,1006681,1020736,1493607,1060945,1641221,1071476,1092813,741195,1596300,2153090,2792173,587035,830502,1382101,842348,954320,849115,1306970
"164",164,935305,1344110,1613593,5377494,1043033,489887,643535,628633,386518,609312,365736,850387,603847,629819,647707,586608,579750,757424,800721,924277,890578,517466,742455,960792,1014698,1143076,828328,606035,582613,563909,795066,793943,1060362,644265,633659,783613,880887,727474,1093936,915270,1030951,965463,736747,812273,901029,1097263,759407,1041589,942809,869193,1029090,866832,998810,907992,1115059,1060401,738268,1125820,982007,1076711,1313001,1165471,1713727,1364955,2107708,1603591,1728732,590129,979649,357172,239179,400425,258559,589658,3609796,517306,634282,561653,753025,806189,437489,679876,699009,561910,722804,770448,469059,717688,851303,447129,661040,877583,726540,642429,914455,588755,730402,642746,952319,943461,1054449,570913,642712,1080884,955180,837094,864599,897513,913483,710528,1098034,748691,837680,701286,881542,608752,594216,1068320,738019,748932,592140,964552,785330,750422,1123695,794923,1150767,695188,795724,912477,535418,1296310,811734,736946,981944,970413,931238,735435,804513,776233,834086,980134,934933,912370,866796,949173,945573,1048267,1098205,755504,963037,788030,730334,1287272,883085,1029717,1076346,932218,823124,1050341,1218426,1366701,896184,884447,1291434,787072,1261939,1279920,907932,908928,1072009,988623,1240105,1380942,1134348,1319773,1400059,1057768,1011733,1257983,1141149,1320674,962240,829857,992161,1091105,809848,1020563,1171778,1108274,1059299,1214398,1049786,1115874,907040,800736,1063917,1429394,1080514,1263072,1141891,1200460,1126060,1244628,1129587,1226941,1098193,1035487,1283835,1242070,1342263,1254446,1253904,606275,1133011,1303259,1478424,1171498,1466147,1449291,1447567,1421899,649418,1182989,1239431,1496272,1308779,1546633,960840,1327361,1279969,834298,1447489,1234526,1755069,1143066,1353014,1468505,1283702,1222672,1746412,722172,1556747,1588649,1074106,1209556,1775546,1728249,1956655,1230902,1635073,2065146,1954100,1842594,1584320,1352300,2006629,2957135,586917,2756694,2958596,2526004,3189394,1003970,616103,789855,763289,607670,908570,652127,764618,738360,741004,912640,842593,1159618,1301340,1222431,958423,1046715,1010699,1023696,1497438,1063608,1644707,1073254,1095564,744839,1597860,2158744,2797165,592515,833372,1392117,844292,959504,851715,1309877
